From Files,To File,References,From Entities,To Entities
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/configs/ItemManager.cpp,8,4,2
3,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/configs/ItemManager.hpp,5,5,2
4,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/configs/PluginItemManager.cpp,12,6,6
6,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/configs/PluginItemManager.hpp,21,14,3
40,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/AxisSystem.cpp,505,219,67
81,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/AxisSystem.hpp,782,191,65
4,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/BodyFixedAxes.cpp,4,4,2
15,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/BodyFixedAxes.hpp,68,33,7
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/BodyInertialAxes.cpp,1,1,1
3,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/BodyInertialAxes.hpp,28,18,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/BodySpinSunAxes.cpp,1,1,1
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/BodySpinSunAxes.hpp,10,8,3
69,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateBase.cpp,425,169,33
24,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateBase.hpp,235,93,10
32,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateConverter.cpp,190,86,6
37,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateConverter.hpp,95,83,6
53,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateSystem.cpp,605,89,26
137,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateSystem.hpp,637,491,3
